PPID,FS,Unit,Level,Feature,Art,Size Grade,Weight (g),Chert,Cortex,Flake,Category,Modified,Thermal Alteration,Tool Class,Tool Class Comment,Pottery,Pottery Comment,Historic,Historic Comment,Comment,x,y,z
44,2017-051,N547E390,13,,27,"1/2""",3.3,TRUE,FALSE,TRUE,Shatter,FALSE,TRUE,,,FALSE,,FALSE,,,390.606,547.77,100.139
51,2017-051,N547E390,13,,28,"1/2""",4.1,TRUE,FALSE,TRUE,Medial,TRUE,TRUE,Biface,projectile point,FALSE,,FALSE,,,390.479,547.825,100.11
45,2017-051,N547E390,13,,29,"1/2""",4.6,TRUE,TRUE,TRUE,Medial,FALSE,TRUE,,,FALSE,,FALSE,,,391.002,547.134,100.116
46,2017-051,N547E390,13,,30,"1/2""",1.5,TRUE,FALSE,TRUE,Proximal,FALSE,FALSE,,,FALSE,,FALSE,,,390.779,547.422,100.125
47,2017-051,N547E390,13,,31,"1/2""",2,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.917,547.521,100.123
462,2017-120,N547E392,14,,10,"1/2""",3.9,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,392.222,547.275,100.072
475,2017-120,N547E392,14,,11,"1/2""",3.4,TRUE,TRUE,TRUE,Distal,TRUE,FALSE,Uniface,unifacially modified flake,FALSE,,FALSE,,,392.268,547.228,100.088
463,2017-120,N547E392,14,,12,"1/2""",2.5,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.325,547.153,100.087
464,2017-120,N547E392,14,,13,"3/4""",7.7,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.47,547.048,100.103
465,2017-120,N547E392,14,,14,"1/2""",1.4,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,392.67,547.215,100.095
466,2017-120,N547E392,14,,15,"1/2""",4.4,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.872,547.11,100.107
467,2017-120,N547E392,14,,16,"1/2""",5.5,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,392.852,547.24,100.056
476,2017-120,N547E392,14,,17,"3/4""",17.7,TRUE,FALSE,TRUE,Medial,TRUE,TRUE,Biface,fragment,FALSE,,FALSE,,,392.954,547.197,100.067
468,2017-120,N547E392,14,,18,"1/2""",2.4,TRUE,FALSE,TRUE,Medial,FALSE,TRUE,,,FALSE,,FALSE,,,392.8,547.627,100.099
477,2017-120,N547E392,14,,19,"1""",25.5,TRUE,FALSE,FALSE,,TRUE,TRUE,Biface,fragment,FALSE,,FALSE,,,392.033,547.111,100.112
469,2017-120,N547E392,14,,21,"1/2""",3.2,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.867,547.697,100.082
470,2017-120,N547E392,14,,22,"1/2""",2.3,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,392.921,547.702,100.119
471,2017-120,N547E392,14,,23,"3/4""",6.2,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.892,547.912,100.111
479,2017-120,N547E392,14,,24,"1/4""",1.3,FALSE,FALSE,FALSE,,FALSE,FALSE,Other,Bone,FALSE,,FALSE,,,392.481,547.807,100.088
472,2017-120,N547E392,14,,25,"1/4""",1.5,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.259,547.707,100.087
473,2017-120,N547E392,14,,26,"1/2""",1.2,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.205,547.92,100.09
478,2017-120,N547E392,14,,27,"1/2""",6.1,TRUE,FALSE,TRUE,Medial,TRUE,FALSE,Biface,fragment,FALSE,,FALSE,,,392.172,547.22,100.06
480,2017-122,N547E392,15,,1,"1/2""",4.9,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.157,547.663,100.028
486,2017-122,N547E392,15,,2,"1/2""",7.7,FALSE,FALSE,FALSE,,FALSE,FALSE,Other,Sandstone,FALSE,,FALSE,,Projectile point tip,392.163,547.894,100.036
481,2017-122,N547E392,15,,3,"1/2""",7.6,TRUE,TRUE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,392.815,547.68,100.033
482,2017-122,N547E392,15,,4,"1/2""",2.5,TRUE,TRUE,TRUE,Medial,FALSE,TRUE,,,FALSE,,FALSE,,,392.629,547.295,100.026
483,2017-122,N547E392,15,,5,"1/2""",1.6,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,392.591,547.274,100.032
484,2017-122,N547E392,15,,6,"1/2""",4.4,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.611,547.07,100.02
485,2017-122,N547E392,15,,7,"1/4""",2.6,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.258,547.408,100.032
172,2017-083,N547E391,12,,1,"1/4""",0.5,TRUE,FALSE,TRUE,Distal,FALSE,TRUE,,,FALSE,,FALSE,,,391.557,547.087,100.154
173,2017-083,N547E391,12,,2,"1/4""",1.4,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.722,547.1,100.164
174,2017-083,N547E391,12,,3,"1/4""",0.9,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.096,547.251,100.164
175,2017-083,N547E391,12,,4,"1/2""",2,TRUE,TRUE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.115,547.309,100.157
176,2017-083,N547E391,12,,5,"1/2""",1.9,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,391.152,547.31,100.151
177,2017-083,N547E391,12,,6,"1/4""",3.5,TRUE,TRUE,TRUE,Shatter,FALSE,FALSE,,,FALSE,,FALSE,,,391.543,547.298,100.159
178,2017-083,N547E391,12,,7,"1/4""",0.7,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.189,547.441,100.177
179,2017-083,N547E391,12,,8,"1/2""",3.4,TRUE,TRUE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.174,547.512,100.178
180,2017-083,N547E391,12,,9,"1/2""",3.4,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.323,547.564,100.198
181,2017-083,N547E391,12,,10,"3/4""",22.4,TRUE,TRUE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.567,547.455,100.194
182,2017-083,N547E391,12,,11,"3/4""",3.9,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,391.565,547.572,100.178
183,2017-083,N547E391,12,,12,"3/4""",7.5,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.7,547.73,100.175
184,2017-083,N547E391,12,,13,"1/4""",0.4,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.634,547.607,100.168
185,2017-083,N547E391,12,,14,"1/2""",3.2,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.056,547.681,100.156
186,2017-083,N547E391,12,,15,"3/4""",16.4,TRUE,FALSE,TRUE,Shatter,FALSE,TRUE,,,FALSE,,FALSE,,,391.689,547.677,100.173
187,2017-083,N547E391,12,,16,"1/4""",0.8,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.793,547.746,100.165
188,2017-083,N547E391,12,,17,"1/2""",4.8,TRUE,FALSE,TRUE,Proximal,FALSE,FALSE,,,FALSE,,FALSE,,,391.945,547.699,100.147
189,2017-083,N547E391,12,,18,"1/4""",1.4,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.168,547.879,100.161
190,2017-083,N547E391,12,,19,"1/2""",2.4,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.453,547.749,100.156
191,2017-083,N547E391,12,,20,"3/4""",5.5,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.81,547.78,100.155
192,2017-083,N547E391,12,,21,"1/2""",1.9,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.809,547.851,100.168
193,2017-083,N547E391,12,,22,"1/4""",1.4,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.867,547.869,100.184
194,2017-083,N547E391,12,,23,"1/2""",2.3,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,391.459,547.878,100.152
195,2017-083,N547E391,12,,24,"1/2""",2.8,TRUE,FALSE,TRUE,Shatter,FALSE,TRUE,,,FALSE,,FALSE,,,391.555,547.909,100.155
196,2017-083,N547E391,12,,25,"1/2""",6.3,TRUE,FALSE,TRUE,Shatter,FALSE,TRUE,,,FALSE,,FALSE,,,391.567,547.894,100.153
197,2017-083,N547E391,12,,26,"1/4""",1.4,TRUE,TRUE,TRUE,Distal,FALSE,TRUE,,,FALSE,,FALSE,,,391.662,547.89,100.174
198,2017-083,N547E391,12,,27,"1/2""",1.6,TRUE,TRUE,TRUE,Distal,FALSE,TRUE,,,FALSE,,FALSE,,,391.324,547.15,100.161
199,2017-083,N547E391,12,,28,"1/2""",3.6,TRUE,TRUE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.388,547.15,100.169
727,2017-194,N548E391,11,,1,"3/4""",8.1,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.715,548.884,100.367
728,2017-194,N548E391,11,,2,"1/4""",1.4,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,391.433,548.897,100.342
729,2017-194,N548E391,11,,3,"1/4""",1.6,TRUE,TRUE,TRUE,Shatter,FALSE,TRUE,,,FALSE,,FALSE,,,391.305,548.888,100.312
730,2017-194,N548E391,11,,4,"1/4""",0.8,TRUE,FALSE,TRUE,Medial,FALSE,TRUE,,,FALSE,,FALSE,,,391.873,548.62,100.341
731,2017-194,N548E391,11,,5,"1/4""",0.4,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.911,548.539,100.327
732,2017-194,N548E391,11,,6,"1/2""",2.2,TRUE,TRUE,TRUE,Shatter,FALSE,TRUE,,,FALSE,,FALSE,,,391.183,548.385,100.335
733,2017-194,N548E391,11,,7,"1/2""",1.6,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,391.764,548.261,100.347
734,2017-194,N548E391,11,,8,"1/4""",0.6,TRUE,FALSE,TRUE,Shatter,FALSE,TRUE,,,FALSE,,FALSE,,,391.835,548.134,100.315
735,2017-194,N548E391,11,,9,"1/2""",2.9,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,391.773,548.065,100.292
736,2017-194,N548E391,11,,10,"3/4""",5.4,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,391.626,548.093,100.335
737,2017-194,N548E391,11,,11,"1/4""",0.7,TRUE,TRUE,TRUE,Shatter,FALSE,TRUE,,,FALSE,,FALSE,,,391.439,548.148,100.332
501,2017-124,N547E392,16,,1,"1/2""",3.6,TRUE,FALSE,TRUE,Complete,TRUE,TRUE,Biface,projectile point,FALSE,,FALSE,,,392.33,547.282,100.002
523,2017-161,N548E390,9,,1,"1/4""",0.3,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.272,548.072,100.338
55,2017-053,N547E390,14,,1,"1/2""",3,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.158,547.358,100.072
56,2017-053,N547E390,14,,2,"1/2""",4.6,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.185,547.325,100.071
